fixed acidity, volatile acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol, quality
7.8,0.56,0.19,2.1,0.081,15,105,0.9962,3.33,0.54,9.5,5
10.2,0.44,0.42,2,0.071,7,20,0.99566,3.14,0.79,11.1,7
8.2,0.31,0.4,2.2,0.058,6,10,0.99536,3.31,0.68,11.2,7
6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,6
9.9,0.44,0.46,2.2,0.091,10,41,0.99638,3.18,0.69,11.9,6
7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,6
11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,7
10.6,0.36,0.59,2.2,0.152,6,18,0.9986,3.04,1.05,9.4,5
9.3,0.39,0.4,2.6,0.073,10,26,0.9984,3.34,0.75,10.2,6
14,0.41,0.63,3.8,0.089,6,47,1.0014,3.01,0.81,10.8,6
7.4,0.52,0.13,2.4,0.078,34,61,0.99528,3.43,0.59,10.8,6
7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,6
6.6,0.725,0.09,5.5,0.117,9,17,0.99655,3.35,0.49,10.8,6
7,0.745,0.12,1.8,0.114,15,64,0.99588,3.22,0.59,9.5,6
7.3,0.735,0,2.2,0.08,18,28,0.99765,3.41,0.6,9.4,5
10.2,0.54,0.37,15.4,0.214,55,95,1.00369,3.18,0.77,9,6
9.1,0.3,0.34,2,0.064,12,25,0.99516,3.26,0.84,11.7,7
6.7,0.48,0.08,2.1,0.064,18,34,0.99552,3.33,0.64,9.7,5
10.6,0.31,0.49,2.2,0.063,18,40,0.9976,3.14,0.51,9.8,6
6.4,0.36,0.21,2.2,0.047,26,48,0.99661,3.47,0.77,9.7,6
6.4,0.795,0,2.2,0.065,28,52,0.99378,3.49,0.52,11.6,5
7.5,0.61,0.26,1.9,0.073,24,88,0.99612,3.3,0.53,9.8,5
9.9,0.53,0.57,2.4,0.093,30,52,0.9971,3.19,0.76,11.6,7
